year,sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
4th Year,618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,General Computer Science,4th-year.pdf,3,1188
4th Year,f7c1380a0d71,explain,Explain.,General Computer Science,4th-year.pdf,3,1854
4th Year,534e8c894772,t o,T.O.,General Computer Science,4th-year.pdf,3,3001
4th Year,c95ee47689a0,tech,TECH. (SEMESTER-VII),B.TECH. (SEMESTER-VII),4th-year.pdf,3,5611
4th Year,ef44c3d7b52f,a explain web service architecture,a) Explain Web Service Architecture?,Web Technology,4th-year.pdf,2,2595
4th Year,d31ca9c7cee7,a write a note on the history of the internet www,a) Write a note on the History of the Internet & WWW?,General Computer Science,4th-year.pdf,2,2563
4th Year,486d23e66ff1,answer any two questions,Answer any two questions.,General Computer Science,4th-year.pdf,2,2636
4th Year,618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,5 X 4,4th-year.pdf,2,1168
4th Year,940caa152261,c explain the concept of corba,c) Explain the concept of CORBA?,General Computer Science,4th-year.pdf,2,2601
4th Year,b48d1fd0843f,c what do you mean by semantic web,c) What do you mean by Semantic Web?,Web Technology,4th-year.pdf,2,2628
4th Year,2d7fb21ec286,can be improved,can be improved?,General Computer Science,4th-year.pdf,2,2599
4th Year,8d1e65e3bddf,data warehouse,data warehouse?,General Computer Science,4th-year.pdf,2,4524
4th Year,b44c5233056d,describe rich site summary syndication,Describe Rich Site Summary & Syndication.,General Computer Science,4th-year.pdf,2,2634
4th Year,3c78b3a28519,differentiate between web usage mining web structure mining web,"Differentiate between Web usage mining, Web Structure Mining, Web",Web Technology,4th-year.pdf,2,2648
4th Year,a1692cb50155,explain in detail,Explain in detail.,General Computer Science,4th-year.pdf,2,1012
4th Year,c6a32efeef87,mining,Mining?,General Computer Science,4th-year.pdf,2,2651
4th Year,a986054ae7ef,object in java script,object in Java script?,General Computer Science,4th-year.pdf,2,2585
4th Year,033fe3a48963,recommended systems,Recommended Systems?,General Computer Science,4th-year.pdf,2,2646
4th Year,e64a2d724f94,suitable block diagram,Suitable Block Diagram?,General Computer Science,4th-year.pdf,2,2642
4th Year,534e8c894772,t o,T.O,General Computer Science,4th-year.pdf,2,2907
4th Year,c95ee47689a0,tech,TECH (CSE) (SEMESTER-VII),B.TECH (CSE) (SEMESTER-VII),4th-year.pdf,2,4609
4th Year,c95ee47689a0,tech,Tech. (VIII Semester),General Computer Science,4th-year.pdf,2,2544
4th Year,ca84d1343b96,web,web?,Web Technology,4th-year.pdf,2,2624
4th Year,a26765e386cb,what is web mining,(c) What is Web Mining?,Web Technology,4th-year.pdf,2,2648
4th Year,1a905a556b23,with java script,with Java Script?,General Computer Science,4th-year.pdf,2,2581
4th Year,7115134e31d4,a briefly explain the major task in data preprocessing,a) Briefly explain the major task in data preprocessing?,General Computer Science,4th-year.pdf,1,4591
4th Year,320249b80f5d,a coordinating process to what extent can such algorithms actually be considered distributed,a coordinating process. To what extent 35 can such algorithms actually be considered distributed?,Distributed Systems,4th-year.pdf,1,2481
4th Year,0ad044ac31be,a define system process how can you kill a process through command line,a. Define system process. How can you kill a process through command line?,Operating Systems,4th-year.pdf,1,6688
4th Year,196e6688934c,a distinguish between supervised learning and unsupervised learning,a) Distinguish between supervised learning and unsupervised learning?,Soft Computing,4th-year.pdf,1,6287
4th Year,18e6bde76068,a explain in detail ant colony based optimization,a) Explain in detail Ant colony based optimization?,General Computer Science,4th-year.pdf,1,6352
4th Year,e197fbb94d41,a explain various activation functions used in ann,a) Explain various activation functions used in ANN?,Soft Computing,4th-year.pdf,1,6270
4th Year,5e98d65e9208,a illustrate the mutation process in ga,a) Illustrate the Mutation process in GA?,Operating Systems,4th-year.pdf,1,1597
4th Year,d9d0efec945c,a what are shadow files,a) What are shadow files?,General Computer Science,4th-year.pdf,1,6858
4th Year,2ddee78a3ea0,a what are the main features of nfs and nfs daemons,a) What are the main features of NFS and NFS daemons?,LDAP?,4th-year.pdf,1,6457
4th Year,e86a44e5aafa,a what do you mean by data warehousing,a) What do you mean by data warehousing?,General Computer Science,4th-year.pdf,1,4579
4th Year,fd27c13236c9,a what do you mean by neural network,a) What do you mean by neural network?,Computer Networks,4th-year.pdf,1,1581
4th Year,96d2240d7e3a,a what is a decision tree,a) What is a decision tree?,Machine Learning,4th-year.pdf,1,4558
4th Year,16dfcbbb2f5d,a what is a security attack,a) What is a security attack?,General Computer Science,4th-year.pdf,1,5540
4th Year,013892d13d17,a what is a signal driver,a) What is a signal driver?,General Computer Science,4th-year.pdf,1,4839
4th Year,91af27617a60,a what is ad hoc network,a) What is Ad hoc network?,Computer Networks,4th-year.pdf,1,1451
4th Year,4bb4a628f857,a what is cryptography,a) What is cryptography?,Cryptography and Network Security,4th-year.pdf,1,5577
4th Year,b860164560fd,a what is defuzzification,a) What is Defuzzification?,Soft Computing,4th-year.pdf,1,6303
4th Year,bbed9f00df22,a what is denial of service attack,a) What is denial of service attack?,General Computer Science,4th-year.pdf,1,1854
4th Year,4973d6405bb8,a what is encryption,a) What is encryption?,Cryptography and Network Security,4th-year.pdf,1,5597
4th Year,b5574f087105,a what is lvm,a) What is LVM?,10X2,4th-year.pdf,1,6449
4th Year,476536fc88b5,a what is meant by swap space and partitions,a) What is meant by swap space and partitions?,General Computer Science,4th-year.pdf,1,6390
4th Year,2fa180fe53f1,a what is modulation,a) What is modulation?,NETWORKS,4th-year.pdf,1,1479
4th Year,540b0af9112d,a what is process,a) What is process?,Operating Systems,4th-year.pdf,1,6410
4th Year,ba676c75298c,a what is the role of a system administrator,a) What is the Role of a system administrator?,010X20-80T,4th-year.pdf,1,6434
4th Year,190d05e527e1,a why scanning is needed in tv,a) Why scanning is needed in TV?,General Computer Science,4th-year.pdf,1,6951
4th Year,7aeb176daaab,a write a short note on ado net providers,a) Write a short note on ADO.Net Providers?,General Computer Science,4th-year.pdf,1,64
4th Year,532c6b9c1d6c,a write a short note on xml,a) Write a short note on XML?,Web Technology,4th-year.pdf,1,84
4th Year,9a697a34a5d6,a write short notes on inheritance,a) Write short notes on Inheritance?,General Computer Science,4th-year.pdf,1,56
4th Year,65e852b48b91,algorithm remove the possibility of deadlock detection,algorithm remove the possibility of deadlock detection?,Distributed Systems,4th-year.pdf,1,4989
4th Year,8a64a32f9aa7,algorithm with proper examples,Algorithm with proper examples?,General Computer Science,4th-year.pdf,1,5883
4th Year,56465d95acaf,along with its working,along with its working?,General Computer Science,4th-year.pdf,1,6059
4th Year,c06c87123e0a,also discuss the strength of des,Also discuss the strength of DES,Cryptography and Network Security,4th-year.pdf,1,2153
4th Year,098350c06fc0,also explain grid architecture,Also explain grid architecture,General Computer Science,4th-year.pdf,1,5023
4th Year,072e3c404e3f,also give,Also give,General Computer Science,4th-year.pdf,1,427
4th Year,0344388634c4,also name a few methods to defend against such,Also name a few methods to defend against such,General Computer Science,4th-year.pdf,1,2081
4th Year,1465ab89efd9,also write what,Also write what,SYSTEM ADMINISTRATION,4th-year.pdf,1,6527
4th Year,b48e6d0285f4,an analysis company xyz records reveals that if the value of the quality characteristics exceeds the target by the tolerance of and on either side the product is likely to be failing during the warranty period and cost rs for repair determine the total loss use taguchi s loss function for a deviation of,"020. An analysis company XYZ records reveals that if the value of the quality characteristics exceeds the target 1.00 by the tolerance of 0.020 and on either side (i.e. 0.020) the product is likely to be failing during the warranty period and cost Rs. 100/- for repair. Determine the total loss, use Taguchi's Loss function for a deviation of 0.010.",General Computer Science,4th-year.pdf,1,4075
4th Year,a619f2226dd2,an example,an  example?,General Computer Science,4th-year.pdf,1,57
4th Year,6257f84cd8ec,analyze,Analyze,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1246
4th Year,98e4b78fec15,analyze the,Analyze the,Cryptography and Network Security,4th-year.pdf,1,2211
4th Year,6bb4ffabb5f7,analyze the impact of shared resources and multi tenancy on cloud app,(c) Analyze the impact of shared resources and Multi-Tenancy on cloud app?,Cloud Computing,4th-year.pdf,1,7074
4th Year,430a753708c8,and an ssl session,and an SSL session?,General Computer Science,4th-year.pdf,1,7173
4th Year,5def3eb0e173,and application of ga,and application of GA?,General Computer Science,4th-year.pdf,1,6043
4th Year,452cb80a2978,and segmentation,and  segmentation?,General Computer Science,4th-year.pdf,1,1369
4th Year,3d2f44b94d80,and what are the architectural influences of soa on cloud design,and  what are the architectural influences of SOA on cloud design?,Cloud Computing,4th-year.pdf,1,1774
4th Year,b90bdc5fad95,answer any two parts of the following a illustrate clr,Answer any two parts of the following. (10x2= 20) a) (i) Illustrate CLR?,General Computer Science,4th-year.pdf,1,110
4th Year,988eab237b7d,answer any two parts of the following a what is fuzzification,Answer any two parts of the following. (10x2= 20) a) (i) What is fuzzification?,General Computer Science,4th-year.pdf,1,5872
4th Year,b2305615d19f,answer any two parts of the following a what is paas,Answer any two parts of the following. (10x2= 20) a) (i)What is PaaS?,Cloud Computing,4th-year.pdf,1,1659
4th Year,e5afeaf84ff5,answer any two parts of the following a what is s mime,Answer any two parts of the following. (10x2= 20) a) (i) What is S/MIME?,Cryptography and Network Security,4th-year.pdf,1,2013
4th Year,bb31856f2230,answer any two parts of the following a what is zfs,Answer any two parts of the following. (10x2= 20) a) (i) What is ZFS?,"EXAMINATION, 2024 – 25",4th-year.pdf,1,1298
4th Year,1a2419796a23,applications b what is genetic neuro hybrid systems,applications. (5 marks) b) What is Genetic Neuro-Hybrid Systems?,General Computer Science,4th-year.pdf,1,5884
4th Year,f380cbcd9a79,architecture,Architecture?,Web Technology,4th-year.pdf,1,7246
4th Year,f380cbcd9a79,architecture,architecture?,BCST-802/BITT-802,4th-year.pdf,1,7135
4th Year,8334ff39e8b0,architecture why do we use a large register file in risc,architecture. Why do we use a large register file in RISC?,General Computer Science,4th-year.pdf,1,3244
4th Year,607f4d133311,are the issues in routing protocols in wireless network,are the issues in routing protocols in wireless network?,Computer Networks,4th-year.pdf,1,1456
4th Year,edc19431d7c6,arsexplain different classes of mheg model,arsExplain different classes of MHEG model.,"(SEM. VIII) EXAMINATION, 2012 MULTIMEDIA COMMUNICATION & SYSTEM DESIGN",4th-year.pdf,1,3751
4th Year,108d448f9b4a,as unsupervised learning,as unsupervised learning?,Machine Learning,4th-year.pdf,1,4442
4th Year,d806dfd9b354,attempt any four all question carry equal marks,1. Attempt any four. All question carry equal marks,General Computer Science,4th-year.pdf,1,4518
4th Year,d806dfd9b354,attempt any four all question carry equal marks,2. Attempt any four. All question carry equal marks.,General Computer Science,4th-year.pdf,1,4536
4th Year,d78e011c1176,attempt any four parts,2 Attempt any four parts:,General Computer Science,4th-year.pdf,1,4924
4th Year,eff23463dd3b,attempt any four parts of the following,Attempt any FOUR parts of the following,General Computer Science,4th-year.pdf,1,2090
4th Year,eff23463dd3b,attempt any four parts of the following,Attempt any FOUR parts of the following,"CSE, VIII",4th-year.pdf,1,1138
4th Year,eff23463dd3b,attempt any four parts of the following,Attempt any FOUR parts of the following.,"CSE, VIII",4th-year.pdf,1,1122
4th Year,eff23463dd3b,attempt any four parts of the following,Attempt any FOUR parts of the following.,NOTE:,4th-year.pdf,1,2054
4th Year,9563afbdefb3,attempt any four question,1 Attempt any four question.,General Computer Science,4th-year.pdf,1,5538
4th Year,ff14e1c3a6cc,attempt any four questions,2 Attempt any four questions,General Computer Science,4th-year.pdf,1,5556
4th Year,ff14e1c3a6cc,attempt any four questions,Attempt any four Questions:,Cryptography and Network Security,4th-year.pdf,1,2189
4th Year,60b7956a33b0,attempt any two all question carry equal marks,3. Attempt any two. All question carry equal marks.,General Computer Science,4th-year.pdf,1,4554
4th Year,60b7956a33b0,attempt any two all question carry equal marks,4. Attempt any two. All question carry equal marks,General Computer Science,4th-year.pdf,1,4575
4th Year,60b7956a33b0,attempt any two all question carry equal marks,5. Attempt any two. All question carry equal marks,General Computer Science,4th-year.pdf,1,4587
4th Year,bb68653b1cdc,attempt any two parts,Attempt any two parts-,General Computer Science,4th-year.pdf,1,2909
4th Year,618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,General Computer Science,4th-year.pdf,1,2145
4th Year,b4084b27c67c,attempt any two questions,3 Attempt any two questions,General Computer Science,4th-year.pdf,1,5572
4th Year,b4084b27c67c,attempt any two questions,4 Attempt any two questions),General Computer Science,4th-year.pdf,1,5583
4th Year,b4084b27c67c,attempt any two questions,5 Attempt any two questions,General Computer Science,4th-year.pdf,1,5593
4th Year,d183ed23b574,aw what do you mean by distributed objects,AW10×2=20 (a) What do you mean by distributed objects?,Distributed Systems,4th-year.pdf,1,2511
4th Year,7590ff1778a1,b are false rejects which model should you choose,B are false rejects. Which model should you choose?,DATA MINING & DATA WAREHOUSING,4th-year.pdf,1,5235
4th Year,fbb4924d61e7,b describe,b) Describe,General Computer Science,4th-year.pdf,1,57
4th Year,98e6390ac6cd,b discuss the challenges of security in computing,b) Discuss the challenges of security in computing?,General Computer Science,4th-year.pdf,1,5542
4th Year,caec9c1cc671,b discuss the classification of routing protocol in wireless network,b) Discuss the classification of routing protocol in wireless network?,Computer Networks,4th-year.pdf,1,1468
4th Year,dfdef3d71122,b explain a single layer net and multilayer net,b) Explain a single layer net and multilayer net?,Soft Computing,4th-year.pdf,1,6289
4th Year,3eeee7a4fda3,b explain fuzzy,(5 marks) b) Explain fuzzy,Soft Computing,4th-year.pdf,1,5868
4th Year,e2bb14b52cd1,b explain in details about creating and consuming ajax,b) Explain in details about Creating and consuming AJAX?,Web Technology,4th-year.pdf,1,85
4th Year,fbc4980af248,b explain what do you mean by user management commands,b) Explain what do you mean by User management commands?,General Computer Science,4th-year.pdf,1,6826
4th Year,dcaef8e3d6af,b given a,b) Given a,Soft Computing,4th-year.pdf,1,6303
4th Year,46b0cf013e48,b how does pgp use the concept of trust,b) How does PGP use the concept of trust?,Cryptography and Network Security,4th-year.pdf,1,2017
4th Year,b5603fabe1c7,b how does virtualization impact cloud security management,b) How does virtualization impact cloud security management?,Cloud Computing,4th-year.pdf,1,1683
4th Year,30ba5708c994,b how is data prepared for classification and prediction,b) How is data prepared for classification and prediction?,Machine Learning,4th-year.pdf,1,4544
4th Year,da991468864b,b how is the training algorithm performed in back propagation neural networks,b) How is the training algorithm performed in back-propagation neural networks?,General Computer Science,4th-year.pdf,1,1584
4th Year,0ccdbdcaad6b,b what are the components of a wireless communication link,b) What are the components of a wireless communication link?,General Computer Science,4th-year.pdf,1,7529
4th Year,48d169e5338d,b what do you mean by starting and stopping nfs b,b) What do you mean by starting and stopping NFS?b,General Computer Science,4th-year.pdf,1,6396
4th Year,bd154a123edf,b what is ieee networking standard,b) What is IEEE 802.11 networking standard?,NETWORKS,4th-year.pdf,1,1482
4th Year,48fd6dc61306,b what is kell factor and flicker,b) What is Kell factor and flicker ?,General Computer Science,4th-year.pdf,1,6923
4th Year,f436e16dfe15,b what is market basket analysis,b) What is market basket analysis?,General Computer Science,4th-year.pdf,1,4595
4th Year,9332b51c4e3a,b what is neural network architecture,b) What is Neural Network Architecture?,Soft Computing,4th-year.pdf,1,6275
4th Year,513b08868680,b what is nis,b) What is NIS?,LDAP?,4th-year.pdf,1,6462
4th Year,036d38250f51,b what is s box substitution,b) What is S-Box Substitution?,Cryptography and Network Security,4th-year.pdf,1,1980
4th Year,77b65709331f,b what is the celluler network,b) What is the Celluler network?,Computer Networks,4th-year.pdf,1,1453
4th Year,ab9358aa7750,b what is the euler s theorem,b) What is the Euler's theorem?,Cryptography and Network Security,4th-year.pdf,1,1967
4th Year,9297ffce2bae,b what is the md algorithm,b) What is the MD5 Algorithm?,Cryptography and Network Security,4th-year.pdf,1,1993
4th Year,90dd7ed159f1,b what is the purpose of the x standard,b) What is the purpose of the X.509 standard?,Cryptography and Network Security,4th-year.pdf,1,2005
4th Year,8498bf060fd5,b what is virtualization in cloud infrastructure,b) What is virtualization in cloud infrastructure?,Cloud Computing,4th-year.pdf,1,1650
4th Year,9b9aeb2bb086,b why message authentication is required,b) Why Message Authentication is required?,General Computer Science,4th-year.pdf,1,1932
4th Year,248a20b62efb,background,background?,General Computer Science,4th-year.pdf,1,6416
4th Year,248a20b62efb,background,background?,General Computer Science,4th-year.pdf,1,6848
