year,sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
2nd Year,b4084b27c67c,attempt any two questions,Attempt any two questions. (10 *2=20),TCS-301 (CSE) - DISCRETE STRUCTURES,2nd-year.pdf,3,8858
2nd Year,013b35f9323a,a explain adt and concrete data structure with examples,a) Explain ADT and Concrete data structure with examples?,DATA STRUCTURE,2nd-year.pdf,2,7626
2nd Year,694cf33d6e02,a what do you mean by min heap,a) What do you mean by min heap?,DATA STRUCTURE,2nd-year.pdf,2,7650
2nd Year,fe5d97c050b0,a what do you mean by stack,a) What do you mean by stack?,"III SEMESTER EXAMINATION, 2023 – 24",2nd-year.pdf,2,8110
2nd Year,1039208e7a85,a what is hashing,a) What is Hashing?,"III SEMESTER EXAMINATION, 2023 – 24",2nd-year.pdf,2,8081
2nd Year,32e393a6b951,and how are they divided into functions,and how are they divided into functions?,(OSSO 0,2nd-year.pdf,2,3296
2nd Year,951018921544,and words fields of the address format,and words fields of the address format?,(OSSO 0,2nd-year.pdf,2,3288
2nd Year,ff14e1c3a6cc,attempt any four questions,Attempt any four questions. (5×4=20),TCS-301 (CSE) - DISCRETE STRUCTURES,2nd-year.pdf,2,8823
2nd Year,618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,10X2,2nd-year.pdf,2,8758
2nd Year,afc9e363696b,b what is b tree,b) What is B-Tree?,"III SEMESTER EXAMINATION, 2023 – 24",2nd-year.pdf,2,8111
2nd Year,5c4638b5fa7c,bubble sort,Bubble Sort?,DATA STRUCTURE,2nd-year.pdf,2,7632
2nd Year,703a80dd7bf0,c explain heap sort with example,c) Explain Heap sort with example?,"III SEMESTER EXAMINATION, 2023 – 24",2nd-year.pdf,2,8066
2nd Year,3660b6fffc10,c how to represent the polynomial using linked list,c) How to represent the polynomial using linked list?,"III SEMESTER EXAMINATION, 2023 – 24",2nd-year.pdf,2,8115
