year,sample_question_id,normalized_question,question_text,topic,source_file,occurrence_count,first_line
3rd Year,534e8c894772,t o,T.O.,General Computer Science,CSE-3rd-year.pdf,4,3467
3rd Year,7de9e4fd1cca,define the following terms,Define the following terms:,General Computer Science,CSE-3rd-year.pdf,3,1729
3rd Year,c95ee47689a0,tech,TECH. (CSE) (SEMESTER-V),B.TECH. (CSE) (SEMESTER-V),CSE-3rd-year.pdf,3,1719
3rd Year,a6b9690c150c,a data file of characters contains only the,"A data file of 100,000 characters contains only the",General Computer Science,CSE-3rd-year.pdf,2,7217
3rd Year,d814b0059152,a what do you understand by directive principles of state policy,a) What do you understand by Directive Principles of State Policy?,CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2594
3rd Year,3e460ee5ca60,apply and show stepwise,Apply and show stepwise,General Computer Science,CSE-3rd-year.pdf,2,7153
3rd Year,618e82323171,attempt any two parts of the following,Attempt any TWO parts of the following,General Computer Science,CSE-3rd-year.pdf,2,432
3rd Year,e9d71f5ee7c9,b,b),CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2594
3rd Year,ef7573952f0b,constitution,constitution?,CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2599
3rd Year,eb050e6342d5,differentiate between min heap and max heap,Differentiate between Min-Heap and Max-Heap?,General Computer Science,CSE-3rd-year.pdf,2,7153
3rd Year,426fe37bf4fe,differentiate between sparse and dense graphs,Differentiate between sparse and dense graphs?,General Computer Science,CSE-3rd-year.pdf,2,7158
3rd Year,249d56e4f1fa,discuss the fundamental rights conferred to citizens as per the indian constitution,Discuss the Fundamental Rights conferred to citizens as per the Indian  Constitution.,CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2595
3rd Year,7f04fe5a3c8e,discuss time complexity of insertion sort algorithm in its best case,Discuss time complexity of Insertion Sort Algorithm in its best case.,General Computer Science,CSE-3rd-year.pdf,2,7185
3rd Year,f7c1380a0d71,explain,Explain.,ST021_005 | 103.170.7,CSE-3rd-year.pdf,2,2316
3rd Year,a70e34c32a84,explain how we can solve a given knapsack problem with the help of branch and bound techniques,Explain how we can solve a given 0/1 Knapsack problem with the help of Branch and Bound techniques,General Computer Science,CSE-3rd-year.pdf,2,7166
3rd Year,ad958fbce0a4,give algorithm of heap sort,Give algorithm of Heap Sort,General Computer Science,CSE-3rd-year.pdf,2,7175
3rd Year,5200bd4849c5,give algorithm to solve the queen problem using backtracking approach,Give algorithm to solve the 8-Queen problem using backtracking approach.,General Computer Science,CSE-3rd-year.pdf,2,7171
3rd Year,de5029608724,give bellman ford algorithm for single source shortest path,Give bellman-ford algorithm for single source shortest path.,General Computer Science,CSE-3rd-year.pdf,2,7126
3rd Year,7737ffcc12c1,have multiple spanning trees,have multiple spanning trees?,03 [P.T.O.],CSE-3rd-year.pdf,2,7138
3rd Year,c1c01d7e3936,if yes provide a suitable example,"If yes, provide a suitable example.",03 [P.T.O.],CSE-3rd-year.pdf,2,7138
3rd Year,c1c01d7e3936,if yes provide a suitable example,"If yes, provide a suitable example.",General Computer Science,CSE-3rd-year.pdf,2,7124
3rd Year,662893da2fe1,is better and inwhich case,is better and inwhich case?,General Computer Science,CSE-3rd-year.pdf,2,7160
3rd Year,908786afd3a1,is it possible for a graph to,Is it possible for a graph to,Computer Graphics,CSE-3rd-year.pdf,2,7136
3rd Year,93558813002b,is it possible for a graph to have,Is it possible for a graph to have,Computer Graphics,CSE-3rd-year.pdf,2,7122
3rd Year,dd10a31b68b1,length encoding,length encoding?,General Computer Science,CSE-3rd-year.pdf,2,7225
3rd Year,6dce0043c03e,multiple spanning trees,multiple spanning trees?,General Computer Science,CSE-3rd-year.pdf,2,7124
3rd Year,b8c36a065388,per indian constitution,per  Indian Constitution?,CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2609
3rd Year,289d2310e55f,please explain using a suitable example,Please explain using a suitable example,03 [P.T.O.],CSE-3rd-year.pdf,2,7143
3rd Year,7efabe9841dd,recurrence tree what do you understand by this analysis,recurrence tree. What do you understand by this analysis?,Data Structures,CSE-3rd-year.pdf,2,7230
3rd Year,ec4ab08b2f4f,sic,0sic,General Computer Science,CSE-3rd-year.pdf,2,7076
3rd Year,bbb930cc4265,statement,statement?,03 [P.T.O.],CSE-3rd-year.pdf,2,7143
3rd Year,969053fe8adf,union territories,Union  Territories?,CONSTITUTION OF INDIA,CSE-3rd-year.pdf,2,2632
3rd Year,25f2b830275e,what do you understand by minimum spanning tree,What do you understand by minimum spanning tree?,Data Structures,CSE-3rd-year.pdf,2,7136
3rd Year,25f2b830275e,what do you understand by minimum spanning tree,What do you understand by minimum spanning tree?,Data Structures,CSE-3rd-year.pdf,2,7122
3rd Year,8ac55f925a16,what do you understand by these two programming paradigm i e greedy approach and dynamic programming,What do you understand by these two programming paradigm i.e. Greedy approach and Dynamic programming?,General Computer Science,CSE-3rd-year.pdf,2,7115
3rd Year,49b87130b089,what will be thespace complexity of this program and why,What will be thespace complexity of this program and why?,General Computer Science,CSE-3rd-year.pdf,2,7215
3rd Year,e59bf67cefa5,which representation of graph,Which representation of graph,Computer Graphics,CSE-3rd-year.pdf,2,7158
3rd Year,31b2dc51c4c2,why do we use huffman codes,Why do we use Huffman codes?,General Computer Science,CSE-3rd-year.pdf,2,7217
3rd Year,86f7e437faa5,a,a.,General Computer Science,CSE-3rd-year.pdf,1,5745
3rd Year,0cf2089974cb,a define hdfs,a) Define HDFS?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6920
3rd Year,61d07a564c96,a what are the different components of modern graphics display,a. What are the different components of modern graphics display?,(4X5=20),CSE-3rd-year.pdf,1,498
3rd Year,1b266715f544,a what are the three modes that hadoop can run,a)What are the three modes that Hadoop can Run?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6866
3rd Year,06f8b68fe413,a what are two reasons for using layered protocols,a) What are two reasons for using layered protocols?,COMPUTER NETWORKS,CSE-3rd-year.pdf,1,3138
3rd Year,4819f7d6ceaa,a what do you understand by quality of service,a) (i) What do you understand by Quality of Service?,CST021_005 |,CSE-3rd-year.pdf,1,2366
3rd Year,6b91e41d229d,a what is difference between compiler and interpreter,a) What is difference between Compiler and Interpreter?,Compiler Design,CSE-3rd-year.pdf,1,1001
3rd Year,53ee1a2088fc,a what is dynamic programming,a) What is dynamic programming?,ANALYSIS OF ALGORITHMS,CSE-3rd-year.pdf,1,3050
3rd Year,006d565066e5,a what is hadoop,a) What is Hadoop?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6911
3rd Year,edf16d2e30e4,a what is pig,a) What is PIG?,DATA ANALYTICS,CSE-3rd-year.pdf,1,6930
3rd Year,ca6557469155,a what is transmission media,a) What is transmission media?,COMPUTER NETWORKS,CSE-3rd-year.pdf,1,3204
3rd Year,c662180230ca,address,address?,5X4=20,CSE-3rd-year.pdf,1,863
3rd Year,d8d511b38140,addressing is performed,addressing is  performed?,COMPUTER NETWORKS,CSE-3rd-year.pdf,1,3149
3rd Year,9a53b0819e7b,algorithm,algorithm?,General Computer Science,CSE-3rd-year.pdf,1,6765
3rd Year,f12522613125,algorithm what are firewalls,algorithm.  (ii) What are firewalls?,CST021_005 |,CSE-3rd-year.pdf,1,2377
3rd Year,09706c418809,also,Also,OLI OTOD OS => [,CSE-3rd-year.pdf,1,5585
3rd Year,09706c418809,also,Also,General Computer Science,CSE-3rd-year.pdf,1,2501
3rd Year,5fdc4368e0f8,also discuss the,Also discuss the,OM HOR,CSE-3rd-year.pdf,1,5432
3rd Year,869543a8022a,also explain b trees,Also explain B trees,General Computer Science,CSE-3rd-year.pdf,1,7618
3rd Year,580a67cd1516,also explain delay,Also explain delay,203-30T,CSE-3rd-year.pdf,1,4455
3rd Year,55427488a202,also use this algorithm to,also Use this algorithm to,General Computer Science,CSE-3rd-year.pdf,1,754
3rd Year,7b366274960d,an atm network uses a token bucket scheme for traffic shaping a new token is put into a bucket every micro seconds what is maximum sustainable net data rate excluding header bits,An ATM network uses a token bucket scheme for traffic shaping. A new token is put into a bucket every 5 micro seconds. What is maximum sustainable net data rate excluding header bits?,Computer Networks,CSE-3rd-year.pdf,1,5755
3rd Year,cffa50a32cb1,and,"1, 6, 30), and (d1, d2, …..,  d7) = (1, 3, 4, 3, 2, 1, 2)?",ANALYSIS OF ALGORITHMS,CSE-3rd-year.pdf,1,3046
